salary,hra,lta,invest_80C,invest_80D,home_loan_interest,rent_paid,other_income,standard_deduction,taxable_income,final_tax
446769,103233,24433,101664,22853,136918,177985,268671,50000,325204,3760
1521741,199004,31373,109072,47837,193846,40277,240261,50000,1193615,170584
1296797,365820,29986,107378,38524,190579,19315,246101,50000,820582,76616
1834398,603626,28269,94384,43589,83080,199111,86218,50000,1074205,134761
814685,131799,11424,25321,24945,62697,104526,206007,50000,737353,59970
1652107,455745,32828,145649,37136,159960,88101,279321,50000,1115765,147229
1561736,158404,47964,137757,11242,70360,180609,180668,50000,1362604,221281
1257293,213330,38983,34368,26047,155913,100624,289238,50000,1105855,144256
829879,305584,34228,118141,18554,185252,156623,205918,50000,392493,7124
273247,100816,28786,141392,2300,29803,35799,91831,50000,69552,0
1322876,332522,5325,128795,20275,141826,103219,73753,50000,728535,58207
1572905,465301,48461,135180,36888,188055,151364,55617,50000,801558,72811
2017640,703965,15665,46776,20011,62551,112983,224056,50000,1374057,224717
1535160,591794,29582,131515,1501,7673,139054,8731,50000,790989,70697
1860908,412117,12841,90249,49642,17928,194781,81093,50000,1334905,212971
2136222,526688,6001,21696,2559,87025,143231,176764,50000,1631018,301805
1228732,240185,3651,15699,24442,138528,87840,181037,50000,944565,101413
1675472,125984,40776,123710,24619,125965,45773,196696,50000,1462665,251299
298984,59193,9366,15897,9647,7991,102578,223993,50000,389614,6980
1754384,573191,10787,31980,19896,1989,189822,213519,50000,1301633,202990
2283643,757507,45195,119238,13936,180303,489,44198,50000,1252051,188115
2480919,898916,39318,98671,35113,158114,9749,62747,50000,1342169,215150
2002126,136171,25065,132264,25577,163780,156114,278771,50000,1798169,351950
386330,90595,26506,20652,20130,92885,35391,33848,50000,172421,0
1987095,174066,33664,122273,1162,5007,131816,163387,50000,1831637,361991
2361138,283949,4300,123467,19627,154486,42474,212949,50000,1946857,396557
836146,305256,43302,122169,22035,146282,16697,39613,50000,273318,1165
2359818,528308,47685,67150,1151,100425,148761,156256,50000,1816724,357517
2481785,782980,35486,136403,2664,182793,126795,207745,50000,1570175,283552
538998,39095,21384,98541,21155,150067,66561,54883,50000,256406,320
2093400,410074,40977,52825,26284,75631,135747,289992,50000,1809554,355366
1329111,380104,40318,19344,21305,58617,111147,55251,50000,895309,91561
1246107,120488,15930,50492,7576,75469,152113,123671,50000,1081682,137004
601279,98631,6879,39543,11132,87974,101742,135191,50000,456068,10303
2120230,153911,29292,137226,8738,162408,159162,198788,50000,1836026,363308
739570,205577,41501,74584,13910,76968,88728,218228,50000,578259,28151
2300731,896852,7675,3811,45601,14805,158484,176910,50000,1474246,254773
1571685,533533,31935,115422,14471,194001,155974,114089,50000,810281,74556
2371690,927610,49349,119196,10945,73678,177977,58775,50000,1298384,202015
741234,256438,5121,23070,19385,169104,85931,71947,50000,300304,2515
2198260,767892,45843,14895,30808,127233,186297,7887,50000,1261161,190848
389182,98078,49760,59522,4652,108620,157670,215562,50000,333631,4181
1771101,409812,16848,83715,16630,53076,167920,224555,50000,1399270,232281
1456914,280002,47076,67496,25083,2125,10511,190952,50000,1270235,193570
434064,145990,32028,98965,37005,71528,70367,56333,50000,118936,0
464020,52770,15112,143730,25834,25102,147273,193123,50000,374818,6240
2222990,154895,27175,66553,37423,161729,4311,178881,50000,1958445,400033
1147421,438042,44360,42371,13553,148186,85537,30206,50000,529834,18466
1944490,99795,1817,76780,25842,134177,91857,262718,50000,1822430,359229
1417752,555603,49392,74036,6796,51412,104812,98463,50000,827759,78051
372409,113621,5734,84173,26400,186276,174808,111091,50000,28763,0
2266716,373950,21998,98308,17646,192175,33318,110298,50000,1666932,312579
1019598,300003,28457,52529,36019,188812,84611,160341,50000,581032,28706
1348591,453472,47999,32604,21795,190167,86804,65979,50000,714530,55406
1124371,152775,16333,33684,15410,114034,180255,194351,50000,969151,106330
1709933,546859,39996,84814,12975,184502,20184,37389,50000,908167,94133
1404454,465617,15421,83606,9897,181486,164609,154529,50000,783797,69259
1223548,167961,23294,53239,44447,110528,78664,223035,50000,1043701,125610
1463475,94649,14076,35121,4579,19028,114362,71808,50000,1345981,216294
2271900,275905,5571,90421,28074,157074,192046,156775,50000,1832771,362331
1249238,150191,23828,138024,6882,176276,145942,283917,50000,1035609,123182
2178434,158664,9374,127413,22532,155898,51500,153050,50000,1826350,360405
629989,191581,23790,4617,45451,181496,188380,153601,50000,334234,4211
293585,53723,1940,79021,8658,160188,106927,78109,50000,22043,0
1669945,600403,33180,107915,41918,75793,160082,234890,50000,1061985,131095
2411196,333371,7606,73957,41191,110822,22130,189582,50000,1999042,412212
359556,75014,46393,6300,42748,157656,116171,86630,50000,160860,0
1825557,499574,19607,98637,15522,134756,97782,7459,50000,1054133,128739
2311083,825317,16172,64199,39295,134479,60670,55665,50000,1269629,193388
450235,105182,11400,58672,49737,13062,60163,244787,50000,429768,8988
2373091,428897,46804,80615,14194,7783,104927,250959,50000,2089364,439309
2259021,798462,5569,72656,22043,29034,128275,52539,50000,1344933,215979
1451482,230185,9601,74026,35168,15135,46425,180608,50000,1237176,183653
792335,61642,24740,93798,19374,147462,56639,29778,50000,474576,11228
325766,67031,21188,122374,47907,136743,166064,263535,50000,186433,0
1951240,633728,14637,114315,32866,89931,76349,97250,50000,1142286,155185
1234346,75015,13061,144060,24432,188339,109157,260897,50000,1026457,120437
1753165,447160,49147,94850,34678,68468,52820,80008,50000,1187163,168649
2485000,641285,17455,23402,42186,56033,132999,7721,50000,1697269,321680
377948,141726,25726,145863,1187,76660,66337,193466,50000,181703,0
1877880,282175,6791,12967,41246,144953,101958,77300,50000,1430629,241688
652690,96332,39967,106763,34786,132556,19261,216397,50000,488616,11930
749046,152932,2554,125598,37531,18944,101475,179513,50000,546107,21721
271959,47571,33380,115362,12352,79799,33350,97826,50000,98080,0
2048792,630456,8268,143699,10398,98081,17160,268558,50000,1392983,230395
2204109,605277,10946,55105,34931,62936,114496,298480,50000,1705285,324085
2088756,659258,44232,98095,32666,48693,159370,121270,50000,1365545,222163
478576,161287,45123,38804,3111,90120,138705,242112,50000,422488,8624
1634250,609646,1051,109107,13963,25787,63430,38861,50000,865658,85631
311087,62474,2983,126258,47051,119060,1601,256774,50000,166000,0
1263343,498570,22927,91616,45914,173045,114628,76263,50000,503387,13177
2332263,292655,10296,39724,26906,75358,52271,224080,50000,2081995,437098
2465603,739749,33994,93997,26300,107675,146206,278901,50000,1760776,340732
1746176,413674,3154,35616,24434,44465,190631,197992,50000,1379132,226239
2136013,717519,34042,81699,5741,48245,10587,255022,50000,1521872,269061
689792,149594,18773,64901,4944,155668,995,97066,50000,380523,6526
289353,93859,31142,110484,49651,166326,162437,238298,50000,88472,0
315318,118420,32587,127781,34456,177282,41070,269514,50000,109479,0
1015313,310993,12726,146480,11869,56056,93117,217674,50000,670314,46562
1781266,572913,6557,74812,16009,30443,113341,39027,50000,1082672,137301
666880,49023,17255,142923,49511,170708,85189,82193,50000,304162,2708
1020746,124260,18345,116881,26489,132490,61326,160686,50000,749656,62431
1063168,415705,26756,84669,20626,180070,157550,61934,50000,400787,7539
475281,139074,12132,1029,36931,30461,101792,252281,50000,482198,11609
1650804,406934,43436,109772,18190,170605,176415,187224,50000,1125962,150288
1730415,308778,31423,123742,3574,48692,142275,108416,50000,1335467,213140
519536,34048,26143,124153,16992,36570,136464,218241,50000,502156,12931
1556002,278831,30305,138584,47538,37666,64435,27857,50000,1061544,130963
427789,96089,26891,102831,6156,146772,6475,2272,50000,55103,0
1811729,224674,4161,104791,41680,125854,97030,171878,50000,1440768,244730
1087291,120252,33843,99744,16442,10742,186110,53312,50000,877265,87953
2472809,563666,47814,143892,30714,183303,39875,76018,50000,1625065,300019
1533743,391206,30951,43007,24005,44191,110756,46558,50000,1058842,130152
931669,124816,7330,57239,17976,73494,129490,251884,50000,867357,85971
1369043,349908,38128,43184,4789,30820,77870,157803,50000,1086272,138381
2456903,897061,18419,132843,34599,144117,69814,161818,50000,1378519,226055
1679626,362145,33157,72147,15709,80265,188127,97050,50000,1229566,181370
1991093,697054,21525,125422,11363,18232,4862,147051,50000,1257597,189779
2268163,849529,29400,21621,48414,133880,82362,161644,50000,1355762,219228
356081,29318,27310,136997,41228,109045,149633,217775,50000,234577,0
1911909,159709,43916,134532,33264,178838,52846,93584,50000,1493065,260419
360078,77998,11756,98216,37943,136102,86929,126246,50000,97820,0
2165631,554046,22187,54689,45357,91076,181755,187271,50000,1579920,286476
2369823,471735,4077,28873,769,34541,104353,270637,50000,2058618,430085
1716976,282026,10760,37727,43829,66090,86898,280450,50000,1528513,271054
1654104,453800,24937,93118,591,85927,12392,36606,50000,1032210,122163
2258187,114554,8250,141347,48587,166082,137831,274204,50000,2020070,418521
1909066,742293,20964,123939,23323,23589,66614,112752,50000,1079637,136391
2398815,314790,48756,120204,42628,31491,39219,161310,50000,2049767,427430
561955,208476,6941,87269,46608,83210,18083,102470,50000,195802,0
2459699,216835,24915,111061,45203,97418,89231,203954,50000,2168050,462915
1160681,154754,37349,130053,19928,23738,138840,264551,50000,1084107,137732
1857618,245587,46891,128393,37457,22959,67496,214676,50000,1634788,302936
392483,156464,19120,128145,17813,116114,110263,271129,50000,214195,0
2283350,117844,33807,104799,38708,178947,124447,69694,50000,1896552,381465
651896,178536,40433,22184,36519,192542,77533,130401,50000,342948,4647
2432048,861894,8312,35886,17326,140396,75541,70843,50000,1405700,234210
727095,207437,15573,17943,27644,77603,12507,1329,50000,363369,5668
321295,56855,3813,41069,16841,172594,116772,122948,50000,110696,0
993974,383085,22857,84943,45264,27089,143723,89575,50000,516024,15704
1137121,412470,22611,28888,21037,131836,156934,95341,50000,610841,34668
1306731,263808,15540,112743,44399,98353,92910,202139,50000,955106,103521
1075816,269669,41704,127655,30137,822,94473,158909,50000,798145,72129
624705,242780,4481,5676,39706,40160,110507,167766,50000,418629,8431
2106926,829909,47426,126290,30259,195714,96174,66223,50000,988402,110180
1908845,395967,15913,72731,42268,112325,130881,91580,50000,1343046,215414
2276793,789073,37311,3586,13317,154633,14407,151423,50000,1454917,248975
804594,125269,11143,30117,9363,17770,172840,151621,50000,734838,59467
397718,71642,14590,128729,37860,32338,160721,297298,50000,389036,6951
895263,96408,39771,133931,34634,15616,174302,199366,50000,803810,73262
2454664,302450,28530,34045,16017,64428,172650,67450,50000,2083703,437611
397443,111246,25598,21380,43622,133730,18963,63552,50000,126614,0
1769163,404737,4960,11503,25010,116300,37779,42861,50000,1209433,175329
623616,81628,40635,42461,39913,122547,10352,80159,50000,407860,7893
936976,178979,27937,108897,8568,122272,139333,265164,50000,761360,64772
1664447,300622,15859,78190,20997,133704,12610,74529,50000,1171321,163896
367796,145491,39811,106040,44308,6857,83479,254699,50000,309609,2980
1491082,520011,34543,84052,45887,23028,61494,296183,50000,1098829,142148
1240198,230414,1908,103331,7943,20622,23727,20697,50000,850492,82598
948376,350776,27608,85684,23313,150245,130893,204411,50000,520376,16575
948002,161086,31549,45711,29077,182807,86704,257546,50000,768415,66183
1838015,521565,49739,64514,3781,50020,56766,29504,50000,1227377,180713
1829159,710312,6145,81942,39542,135997,77980,152328,50000,969838,106467
1157317,215952,49534,125068,35682,17748,159868,71401,50000,833801,79260
571184,164477,41649,86237,26274,48928,104,207703,50000,444619,9730
2097191,322072,5231,105881,37164,20798,144294,155602,50000,1722108,329132
1721091,246476,6004,116639,37367,100885,2208,131670,50000,1307397,204719
918234,230435,8395,72805,7477,141722,2631,216242,50000,640431,40586
628480,246830,45041,35896,26808,174454,139113,9168,50000,148700,0
2379863,496431,46829,10156,1103,47860,57868,188009,50000,2009150,415245
1041971,394045,4121,133797,11466,20492,23543,149636,50000,585927,29685
751157,277948,1876,122691,43055,125766,3466,280202,50000,413774,8188
434423,60305,39019,97753,25044,68525,120591,68198,50000,240012,0
2002290,381710,1700,18699,32022,174488,98903,201223,50000,1548293,276988
1162495,319867,1590,137981,21685,87406,183712,159947,50000,707092,53918
2035954,470948,30487,148437,23101,166614,17136,18573,50000,1225913,180273
383272,32035,22045,10559,11961,183218,128321,114114,50000,231657,0
1017836,404889,2064,65208,31660,181054,176120,188622,50000,475710,11285
1376081,431303,42447,136796,17107,133028,30129,249055,50000,899348,92369
2350021,477507,2345,93714,17232,186614,86297,29138,50000,1556436,279430
1031474,274742,35408,95956,42462,135701,141883,149202,50000,617222,35944
1610828,129914,32139,17745,3059,49410,43262,183755,50000,1576593,285478
868467,193976,33818,17128,14767,178890,199563,205092,50000,652615,43023
1388848,521917,45238,38935,10911,122292,94594,188513,50000,878543,88208
2385619,867912,19971,134425,48519,48919,54929,180595,50000,1436409,243422
1127844,189571,39360,111415,37937,101592,123573,225382,50000,902070,92914
730047,172275,47004,97081,7560,149996,154801,279233,50000,579371,28374
1957923,575794,46535,22785,11897,93265,148701,267343,50000,1518059,267917
1357447,229412,6731,30033,36164,61359,55910,286800,50000,1244009,185702
1189903,86515,12707,59568,35244,149298,166114,275302,50000,1097286,141686
378391,85858,6383,146928,30412,47899,8944,49147,50000,72823,0
1267026,330152,14847,107949,20632,19110,149320,125082,50000,879111,88322
1909280,99367,48417,54764,22878,13641,70765,191513,50000,1908559,385067
2155279,179861,4899,76370,48865,127073,42760,72262,50000,1750270,337581
357450,43806,37302,80761,9168,8958,138537,271933,50000,473991,11199
2233509,383757,31491,91958,43576,24409,42678,208000,50000,1879299,376289
366381,87699,33290,69899,6297,109923,171304,222030,50000,297882,2394
1771701,270795,41530,115134,32083,70103,176369,57864,50000,1332979,212393
1870197,274291,29954,117410,21509,115347,27711,272109,50000,1593702,290610
2481660,879183,19723,82036,27231,37795,4307,105189,50000,1530326,271598
2028226,204379,4208,15765,11744,183958,79983,218162,50000,1784749,347924
2161221,482840,18836,56625,49722,78572,177483,100817,50000,1563114,281434
1449386,555823,30689,67564,43475,126983,2433,286518,50000,922747,97049
2264484,608590,30955,86671,46395,46773,46622,97295,50000,1554304,278791
1668175,502157,5125,80675,23562,74501,107319,221397,50000,1163801,161640
979903,196894,3185,69180,3630,1503,112390,106062,50000,767942,66088
2392866,136336,47468,33354,20394,64327,161852,240936,50000,2376858,525557
1765536,487545,9038,105488,9894,196256,17575,57415,50000,982805,109061
2010427,545174,27968,124760,7578,51777,137588,281055,50000,1540160,274548
374123,33165,48295,38923,40871,128194,168596,179206,50000,310470,3023
1186093,251162,43857,96770,2529,70729,26956,166468,50000,925227,97545
1381565,511683,38963,56178,28717,91053,89136,180138,50000,863034,85106
428274,52155,42871,68168,49220,39920,184178,230825,50000,442506,9625
2181760,461190,16683,132055,5705,24992,184681,51324,50000,1575824,285247
381373,80616,4958,16896,62,65493,16513,254807,50000,428070,8903
365294,121922,32851,75316,28839,32323,110407,293244,50000,382988,6649
2270320,768733,7915,110076,8871,174199,6675,179776,50000,1346131,216339
898307,283635,34144,4586,39003,112658,163986,189112,50000,631680,38836
2412878,429272,32585,134151,49140,44674,6012,246806,50000,1985031,408009
391564,29450,44534,83653,28572,198097,112765,63129,50000,109454,0
1676388,288873,40594,40070,23829,199553,141400,93045,50000,1207701,174810
2317359,667230,13306,45692,21448,174588,3056,286581,50000,1658287,309986
2465167,729594,21369,60254,46796,84070,95901,225910,50000,1741731,335019
939944,364463,17882,147007,36130,65373,117523,187361,50000,482213,11610
938105,195852,46714,58621,24602,177880,15646,257295,50000,735158,59531
2239173,607605,37778,35590,9662,164621,130033,38256,50000,1447728,246818
1664466,397336,26602,145807,37924,102217,36054,232159,50000,1189942,169482
695101,71398,3870,16344,27634,97992,41328,29438,50000,465040,10752
2383783,503981,12981,24825,44542,107639,108260,80012,50000,1745788,336236
1302590,313523,1725,15523,37529,70418,21362,136378,50000,953699,103239
1316646,503962,13197,20296,43618,111077,25045,130576,50000,731465,58793
2120785,378111,2810,103690,30601,160788,195722,281011,50000,1681415,316924
1355534,532771,31034,86399,26515,151410,91906,248013,50000,787485,69997
1833593,439704,38329,15744,38256,122862,167852,243366,50000,1448721,247116
2053649,276963,2294,124168,45577,24379,131386,44966,50000,1579821,286446
1474665,172657,10504,115224,33309,10910,92215,252978,50000,1356046,219313
408823,40715,42552,1639,17994,125826,151271,181330,50000,396530,7326
1691578,352738,41384,129806,44687,185411,192566,23273,50000,993592,111218
748863,43190,37658,63228,25990,172703,172954,64416,50000,495825,12291
617654,127092,5177,10809,36981,96716,42182,156043,50000,457275,10363
1742785,690041,24400,149527,21398,52177,126084,136457,50000,940498,100599
1047079,297933,38371,101959,34343,149264,62163,203228,50000,655178,43535
914076,288779,40121,97222,16384,159639,179633,172890,50000,515062,15512
1547286,141811,27415,19582,28972,63058,23811,106720,50000,1377997,225899
2155324,464656,38386,70829,6918,48947,16717,71379,50000,1623738,299621
1536125,230692,29519,116753,16680,189502,50153,79245,50000,1041261,124878
1782875,647066,47696,120258,10563,137632,133160,141069,50000,1006120,114336
698982,79301,31989,95383,19969,38323,10427,59155,50000,507149,13929
1422622,299542,19942,103930,9488,159713,135072,33437,50000,853327,83165
1246161,318788,1784,4005,47591,171047,198765,290468,50000,946981,101896
916326,210676,2916,73454,17800,133491,172955,31733,50000,465553,10777
899150,306237,3444,38698,5770,37795,9616,149392,50000,613485,35197
368834,48320,33282,97287,25899,199407,157359,34493,50000,15695,0
1949005,354888,29419,4319,14930,172690,125556,210334,50000,1591930,290079
2004236,655845,24674,80410,26039,137763,2014,180810,50000,1259662,190398
534821,125589,24898,145982,32525,104746,3467,208683,50000,309559,2977
305609,58292,10831,91012,16462,664,50393,293087,50000,393096,7154
477897,28819,30136,77875,48558,100252,9970,210329,50000,412857,8142
1224165,384002,47507,107488,32711,178394,62145,128363,50000,647439,41987
1329600,518894,38304,26499,15904,198745,174927,219715,50000,777576,68015
1275715,340744,40618,78156,35457,18071,150707,19179,50000,813083,75116
1688533,590630,40881,124657,36865,132371,48843,274798,50000,1069688,133406
711243,164230,37018,78297,1083,191278,17724,291649,50000,555021,23504
2308852,302663,37009,140794,28051,193405,72845,222520,50000,1853467,368540
2235588,123079,11165,19234,47225,86483,113480,111129,50000,2031860,422058
501451,139749,13546,111311,15441,109655,60028,38570,50000,127410,0
253051,56326,26073,33592,36564,112873,177229,158079,50000,147847,0
2002683,648337,38286,131835,47682,124344,116802,63082,50000,1101852,143055
1254646,367785,29535,14325,26768,51479,44273,42266,50000,816089,75717
1910099,755985,19133,117456,42981,33750,41476,115204,50000,1044263,125779
1221525,279252,34699,71884,19395,182204,149562,29749,50000,683237,49147
439407,87666,48560,135525,33952,37113,182452,27690,50000,171400,0
699395,105160,31434,18680,1249,63688,36557,129764,50000,621815,36863
1199597,260194,33206,125830,47916,61535,74283,276983,50000,964310,105362
1510386,536949,33304,103304,16565,17666,90726,243336,50000,1062541,131262
2420675,156990,43182,1172,23967,120421,193135,43781,50000,2155087,459026
1393052,546445,25288,78493,9530,144076,119152,191494,50000,781289,68757
472866,188038,38694,62229,16903,91621,5191,193362,50000,296130,2306
1385248,359108,27114,2990,39281,141320,150473,28592,50000,848254,82150
1896711,314930,24502,6654,32699,157696,63594,48475,50000,1407708,234812
1643470,210474,48124,143646,40718,59916,8454,61978,50000,1248817,187145
2375403,348641,29851,24349,6782,127716,87156,44175,50000,1891940,380082
1673286,113008,21222,139997,1694,23572,135108,208602,50000,1574838,284951
433062,93666,47441,62342,37439,2378,19775,204151,50000,438828,9441
350235,24538,35534,96398,12292,99660,100705,191761,50000,294641,2232
2151625,648641,40942,126354,33961,54006,90911,197483,50000,1477087,255626
1000201,180211,30422,111177,19817,180928,182687,185204,50000,673693,47238
1053328,126165,28643,22362,25372,76084,17629,1920,50000,783907,69281
1293233,311279,48311,38658,42893,66628,104779,163404,50000,995489,111597
1961741,766679,15650,36450,25779,149095,78645,179857,50000,1129244,151273
779525,228631,301,105011,20660,170514,143632,100585,50000,305594,2779
1318632,292883,36418,72913,37900,149215,82698,45327,50000,797465,71993
426615,137335,33014,73559,29627,184196,129173,267551,50000,252462,123
437628,134840,18447,23859,9007,144003,195581,225441,50000,319806,3490
656716,237801,1358,34480,43934,33215,17836,290432,50000,549075,22315
791252,96243,28882,72530,47139,44275,49956,202082,50000,712028,54905
1936293,678878,30068,84038,26138,188385,194043,109056,50000,1047977,126893
2414367,375093,46485,62354,2276,85057,121610,119948,50000,2006019,414305
2154050,817138,11793,116603,14974,73274,84195,163387,50000,1257240,189672
394356,58511,17429,108189,21600,133443,178007,104603,50000,144644,0
453861,169924,39529,26110,2652,111822,157167,185081,50000,317962,3398
605612,234569,36982,66076,9306,68002,112996,175264,50000,389904,6995
259435,26182,26114,113125,36611,102453,72873,92671,50000,49848,0
697556,272796,42475,98695,33482,194020,198482,18673,50000,109710,0
1998014,159847,4601,113219,15576,160961,127770,184634,50000,1687645,318793
328781,41590,11898,92746,10359,67420,66113,34618,50000,113181,0
1014121,208360,18162,92583,12420,53589,10241,290990,50000,906320,93764
1989183,791215,8628,41232,16434,57022,140404,78418,50000,1120325,148597
1419748,313760,25378,80097,25153,87958,106717,142278,50000,1030435,121630
1754544,425728,23656,137939,35879,946,193161,74464,50000,1202171,173151
1357677,397865,23759,91494,1996,33815,6688,297441,50000,1103706,143611
1794548,697904,32724,7050,41591,190483,131140,115489,50000,955732,103646
538790,174661,37568,91474,35322,51485,131181,200656,50000,374071,6203
1140617,146516,33592,4959,39398,142674,34408,315,50000,790976,70695
1658836,258856,20189,98263,45264,70594,70370,92846,50000,1248893,187168
1891249,159186,29742,68421,17374,159841,82455,144174,50000,1610342,295602
900419,248117,14241,45393,19833,65291,49617,240229,50000,726254,57750
1137225,128801,41263,39288,28874,117508,130994,79837,50000,893853,91270
521967,73123,39078,87727,27144,152186,119872,151575,50000,322439,3621
441232,159214,41046,56588,14602,70318,143390,187491,50000,319046,3452
1602695,263426,3297,11894,35718,190982,76313,186727,50000,1240698,184709
2356692,585228,14455,39065,14052,98284,24252,20940,50000,1605457,294137
1839228,347886,22429,95239,37917,92750,134108,205892,50000,1443756,245626
1350567,102522,11511,102681,30300,88121,133722,272309,50000,1260762,190728
868992,153813,7089,63344,470,122072,31278,292251,50000,778632,68226
299115,57676,22880,9613,22860,134993,75890,228890,50000,275742,1287
971747,353225,48271,77045,31861,187607,110939,126128,50000,446407,9820
1447719,236785,38402,75688,35275,178775,191402,83053,50000,992650,111030
2013211,367882,13305,79503,12204,106846,50187,167507,50000,1577587,285776
2288449,741489,15676,105767,48378,125577,88333,32118,50000,1265031,192009
786226,248160,23297,47578,38371,134403,104535,168385,50000,459395,10469
1302576,429068,33817,124899,15732,1990,2142,213965,50000,928668,98233
1654330,634964,36369,148619,31497,3574,190581,183175,50000,1005219,114065
501492,164712,39233,145792,11835,196164,132127,126736,50000,98957,0
1798098,346426,28802,95516,31510,41565,189400,66994,50000,1328876,211162
741072,250132,7749,122064,48413,95810,163079,61894,50000,244295,0
1336880,304856,35751,40017,44151,4983,174064,55435,50000,984058,109311
754999,111135,48025,149239,47387,30143,192108,57235,50000,472354,11117
581593,90740,11312,48527,31894,145270,110954,147261,50000,373734,6186
2305723,295927,32568,26987,13252,49074,56469,164425,50000,2067475,432742
2498988,251766,29495,128294,413,158099,198378,296362,50000,2236272,483381
358940,41124,32709,88042,12488,41247,31198,221743,50000,380490,6524
1074926,77515,46868,23120,48737,157584,68910,57190,50000,822027,76905
1564093,564571,25103,4951,30063,93167,177952,131118,50000,977561,108012
635777,238958,7173,73183,40985,170021,42475,203186,50000,272988,1149
1923250,491139,16417,79362,379,115069,28492,46224,50000,1249941,187482
2179305,750054,30778,64738,48464,166103,181939,246708,50000,1377431,225729
888873,101553,24360,38168,25505,54584,156220,254226,50000,897648,92029
315953,115507,39314,134868,42563,12440,50912,166483,50000,166371,0
253267,57548,31900,142017,15617,119025,177841,70671,50000,0,0
2429897,178616,26655,105878,17199,98613,110641,278779,50000,2285024,498007
2174596,216284,32777,56894,10821,9383,43740,103368,50000,1967358,402707
407164,64389,1727,92896,28151,65866,167113,246677,50000,354265,5213
